MMS ID,Resource Type,Fund Ledger Name,Fund Ledger Code
991001124429703851,Projected medium - Physical,Fox,dfox
991012485619703851,Book - Physical,Fox,dfox
991014960819703851,Book - Physical,Pallin,dpall
991017221396303851,Journal - Electronic,Duke,dduke
991017326029403851,Book - Physical,Spertus,dsper
991017351242103851,Book - Physical,Gordon Gift,dgord
991017378949703851,Book - Physical,Gordon Gift,dgord
991017383248003851,Book - Physical,Brian C. O'Connell,docon
991017388544603851,Book - Physical,Marcopoulos,dmarc
991017391832503851,Book - Physical,"Alexander, Laura",dalel
991017391838103851,Book - Physical,Marcopoulos,dmarc
991017391943703851,Book - Physical,Marcopoulos,dmarc
991017417035703851,Book - Physical,Duke,dduke
991017417035803851,Book - Physical,Duke,dduke
991017417035903851,Book - Physical,"Alexander, Laura",dalel
991017417036003851,Book - Physical,"Alexander, Laura",dalel
991017417036103851,Book - Physical,Duke,dduke
991017417036503851,Book - Physical,Duke,dduke
991017417036603851,Book - Physical,"Alexander, Laura",dalel
991017417036703851,Book - Physical,"Alexander, Laura",dalel
991017417036803851,Book - Physical,Duke,dduke
991017417036903851,Book - Physical,"Alexander, Laura",dalel
991017417037003851,Book - Physical,"Alexander, Laura",dalel
991017417037103851,Book - Physical,"Alexander, Laura",dalel
991017417037303851,Book - Physical,"Alexander, Laura",dalel
991017417037403851,Book - Physical,"Alexander, Laura",dalel
991017417037503851,Book - Physical,"Alexander, Laura",dalel
991017417037603851,Book - Physical,"Alexander, Laura",dalel
991017417037903851,Book - Physical,Duke,dduke
991017417038003851,Book - Physical,"Alexander, Laura",dalel
991017417038303851,Book - Physical,Duke,dduke
991017417038503851,Book - Physical,"Alexander, Laura",dalel
991017417038703851,Book - Physical,"Alexander, Laura",dalel
991017417039003851,Book - Physical,Duke,dduke
991017417039203851,Book - Physical,"Alexander, Laura",dalel
991017417039403851,Book - Physical,"Alexander, Laura",dalel
991017417039503851,Book - Physical,Duke,dduke
991017417039903851,Book - Physical,"Alexander, Laura",dalel
991017417041303851,Book - Physical,Duke,dduke
991017417047603851,Book - Physical,Spertus,dsper
991017417047703851,Book - Physical,Macgregor Family,dchri
991017417048003851,Book - Physical,Spertus,dsper
991017417049103851,Book - Physical,Spertus,dsper
991017417049603851,Book - Physical,Spertus,dsper
991017417133403851,Book - Physical,Duke,dduke
991017417133703851,Book - Physical,"Alexander, Laura",dalel
991017417133903851,Book - Physical,Duke,dduke
991017417134103851,Book - Physical,Duke,dduke
991017417134203851,Book - Physical,Duke,dduke
991017417134303851,Book - Physical,Duke,dduke
991017417134503851,Book - Physical,Duke,dduke
991017417134603851,Book - Physical,Duke,dduke
991017417134703851,Book - Physical,Duke,dduke
991017417134803851,Book - Physical,Duke,dduke
991017417134903851,Book - Physical,"Alexander, Laura",dalel
991017417135003851,Book - Physical,"Alexander, Laura",dalel
991017417135303851,Book - Physical,Duke,dduke
991017417135503851,Book - Physical,Duke,dduke
991017417135703851,Book - Physical,Duke,dduke
991017417135803851,Book - Physical,Duke,dduke
991017417135903851,Book - Physical,Duke,dduke
991017417136003851,Book - Physical,"Alexander, Laura",dalel
991017417136103851,Book - Physical,"Alexander, Laura",dalel
991017417136203851,Book - Physical,"Alexander, Laura",dalel
991017417136403851,Book - Physical,"Alexander, Laura",dalel
991017417136503851,Book - Physical,"Alexander, Laura",dalel
991017417136703851,Book - Physical,Duke,dduke
991017417136803851,Book - Physical,"Alexander, Laura",dalel
991017417136903851,Book - Physical,Duke,dduke
991017417148203851,Book - Physical,Spertus,dsper
991017417148303851,Book - Physical,Spertus,dsper
991017417148603851,Book - Physical,Spertus,dsper
991017417148903851,Book - Physical,Spertus,dsper
991017417149003851,Book - Physical,Spertus,dsper
991017417149203851,Book - Physical,Spertus,dsper
991017417149703851,Book - Physical,Spertus,dsper
991017420139603851,Book - Physical,Giffuni,dgiff
991017420249303851,Book - Physical,Spertus,dsper
991017420249303851,Book - Physical,Willis,dwill
991017434897203851,Book - Physical,Barry,dbarr
991017434897603851,Book - Physical,Barry,dbarr
991017434898003851,Book - Physical,Barry,dbarr
991017434898203851,Book - Physical,Duke,dduke
991017435949103851,Book - Physical,Jonathan Tisch,dtisc
991017436039403851,Book - Physical,Gordon Gift,dgord
991017436039603851,Book - Physical,Gordon Gift,dgord
991017436039803851,Book - Physical,Gordon Gift,dgord
991017436040503851,Book - Physical,Gordon Gift,dgord
991017436040803851,Book - Physical,Gordon Gift,dgord
991017436041203851,Book - Physical,Gordon Gift,dgord
991017436042603851,Book - Physical,"Alexander, Laura",dalel
991017436043003851,Book - Physical,"Alexander, Laura",dalel
991017436043103851,Book - Physical,"Alexander, Laura",dalel
991017436044703851,Book - Physical,Alexander,dalex
991017436049803851,Book - Physical,Jonathan Tisch,dtisc
991017437577503851,Book - Physical,Barry,dbarr
991017437578603851,Book - Physical,Pallin,dpall
991017437578803851,Book - Physical,Newhouse,dnewh
991017437579203851,Book - Physical,Shapiro,dshap
991017437579503851,Book - Physical,Shapiro,dshap
991017437579603851,Book - Physical,Newhouse,dnewh
991017437579903851,Book - Physical,Newhouse,dnewh
991017437580103851,Book - Physical,Shapiro,dshap
991017437580503851,Book - Physical,Newhouse,dnewh
991017437580703851,Book - Physical,Newhouse,dnewh
991017437580903851,Book - Physical,Barry,dbarr
991017437581503851,Book - Physical,Barry,dbarr
991017437581803851,Book - Physical,Duke,dduke
991017437582303851,Book - Physical,Barry,dbarr
991017437582603851,Book - Physical,Barry,dbarr
991017437582803851,Book - Physical,Barry,dbarr
991017441635203851,Book - Physical,Newhouse,dnewh
991017441636103851,Book - Physical,Newhouse,dnewh
991017441636303851,Book - Physical,Barry,dbarr
991017441636503851,Book - Physical,Barry,dbarr
991017441636703851,Book - Physical,Newhouse,dnewh
991017446302403851,Book - Physical,Newhouse,dnewh
991017446302603851,Book - Physical,Barry,dbarr
991017446302803851,Book - Physical,Newhouse,dnewh
991017446303003851,Book - Physical,Barry,dbarr
991017446303103851,Book - Physical,Barry,dbarr
991017446303303851,Book - Physical,Newhouse,dnewh
991017446303603851,Book - Physical,Barry,dbarr
991017446303703851,Book - Physical,Barry,dbarr
991017446304003851,Book - Physical,Newhouse,dnewh
991017446304203851,Book - Physical,Barry,dbarr
991017446949503851,Book - Physical,Jonathan Tisch,dtisc
991017449484503851,Book - Physical,Barry,dbarr
991017449484903851,Book - Physical,Barry,dbarr
