MMS ID,Resource Type,Author Statement,Fund Ledger Name,Fund Ledger Code
991000390829703851,Book - Physical,,Bradley - Books,gbrab
991000745209703851,Book - Physical,,Cabot - Books,gcabb
991000745499703851,Book - Physical,"Torres, Rosalie T.",Cabot - Books,gcabb
991000839969703851,Book - Physical,"SAADE, BASHIR, 1980-",Fares - Books,gfarb
991001044449703851,Book - Physical,"Matar, Hisham, 1970- author.",Cabot - Books,gcabb
991001178509703851,Book - Physical,"Tilly, Charles.",Cabot - Books,gcabb
991001260129703851,Book - Physical,"Rabil, Robert G., author.",Hay - Books,ghayb
991001387979703851,Book - Physical,"Lauren, Paul Gordon.",Cabot - Books,gcabb
991001406019703851,Book - Physical,"Cassese, Antonio, author.",Cabot - Books,gcabb
991001502529703851,Book - Physical,"Anderson, Emma-Louise, 1980-",Bradley - Books,gbrab
991001586989703851,Book - Physical,"BELMONTE, LAURA A",Bradley - Books,gbrab
991001601799703851,Book - Electronic,,Bradley - Books,gbrab
991001649839703851,Book - Physical,,Cabot - Books,gcabb
991002068429703851,Digital File - Text,"Hajj, Nadya, author.",Fares - Books,gfarb
991002374909703851,Book - Physical,"Honig, Michael, author.",Raanan - Books,graab
991002390269703851,Book - Physical,"Harris, D. J. author. (David John),",Bradley - Books,gbrab
991002914279703851,Book - Physical,"Zhao, Linda, 1969-",Cabot - Books,gcabb
991003230879703851,Book - Physical,"King, Gary, 1958- author.",Cabot - Books,gcabb
991003619429703851,Other Serial - Electronic,,Salacuse - Books,gsalb
991004074169703851,Book - Physical,,Cabot - Books,gcabb
991004094259703851,Book - Physical,,Cabot - Books,gcabb
991004246609703851,Book - Physical,"Brown, Roger, 1925-1997.",Cabot - Books,gcabb
991004246949703851,Book - Physical,,Hay - Books,ghayb
991004247029703851,Book - Physical,,Bradley - Books,gbrab
991004247059703851,Book - Physical,,Cabot - Books,gcabb
991004247099703851,Book - Physical,,Fares - Books,gfarb
991004247309703851,Book - Physical,"Sinclair, Alison, 1946-",Imlah - Books,gimlb
991004290059703851,Book - Physical,"Chaudhuri, Rudra.",Cabot - Books,gcabb
991004502399703851,Book - Physical,"Hale, William M.",Fares - Books,gfarb
991004502539703851,Book - Physical,"Ḥusaynī, Amīn, 1893-1974.",Fares - Books,gfarb
991004502579703851,Book - Physical,"Pfiffner, James P.",Cabot - Books,gcabb
991004502619703851,Book - Physical,"Smithers, Andrew.",Cabot - Books,gcabb
991005934919703851,Book - Physical,"Samson, Victoria.",Hay - Books,ghayb
991005934939703851,Book - Physical,"Luo, Yan, Dr.",Maney - Books,gmanb
991005935269703851,Book - Physical,"Askari, Hossein.",Salacuse - Books,gsalb
991005935599703851,Book - Physical,"Pouliot, Vincent, 1979-",Hay - Books,ghayb
991005935629703851,Book - Physical,"Smith, Michael E. 1965- (Michael Eugene),",Hay - Books,ghayb
991005935769703851,Book - Physical,"Kātibī, Ghaydāʼ Khazanah.",Cabot - Books,gcabb
991005935889703851,Book - Physical,,Salacuse - Books,gsalb
991005935999703851,Book - Physical,,Raanan - Books,graab
991005936019703851,Book - Physical,"Lauterwein, Carl Constantin.",Cabot - Books,gcabb
991005936049703851,Book - Physical,,Cabot - Books,gcabb
991005936269703851,Book - Physical,"Ibsen, Kristine, 1961-",Salacuse - Books,gsalb
991005936319703851,Book - Physical,"Uildriks, Niels A.",Bradley - Books,gbrab
991005936409703851,Book - Physical,"Wong, Wilson.",Hay - Books,ghayb
991005936569703851,Book - Physical,"Vossestein, G. J.",Maney - Books,gmanb
991005994149703851,Book - Physical,"Houtart, FrancÌ§ois, 1925-",Cabot - Books,gcabb
991005994179703851,Book - Physical,,Cabot - Books,gcabb
991005994209703851,Book - Physical,"Norrlof, Carla.",Cabot - Books,gcabb
991005994239703851,Book - Physical,,Cabot - Books,gcabb
991005994269703851,Book - Physical,"Caplow, Theodore.",Hay - Books,ghayb
991005994319703851,Book - Physical,"Frye, Timothy.",Raanan - Books,graab
991005994349703851,Book - Physical,,Cabot - Books,gcabb
991005994379703851,Book - Physical,"Fergusson, James G. 1954- (James Gordon),",Hay - Books,ghayb
991005994469703851,Book - Physical,,Cabot - Books,gcabb
991005994519703851,Book - Physical,,Cabot - Books,gcabb
991005994579703851,Book - Physical,,Cabot - Books,gcabb
991005994599703851,Book - Physical,,Cabot - Books,gcabb
991005994629703851,Book - Physical,"Cullen, Anthony, 1976-",Cabot - Books,gcabb
991005994729703851,Book - Physical,,Raanan - Books,graab
991005994759703851,Book - Physical,"Raffer, Kunibert, 1951-",Cabot - Books,gcabb
991005994789703851,Book - Physical,Tanachart Raoprasert.,Cabot - Books,gcabb
991005994829703851,Book - Physical,,Cabot - Books,gcabb
991005994859703851,Book - Physical,"Camara, Mohamed Saliou.",Cabot - Books,gcabb
991005994899703851,Book - Physical,,Cabot - Books,gcabb
991005994929703851,Book - Physical,"Schlütter, Birgit, 1978-",Cabot - Books,gcabb
991005994959703851,Book - Physical,"Kay, Zachariah.",Fares - Books,gfarb
991005994989703851,Book - Physical,"Hammond, Felix N.",Cabot - Books,gcabb
991005995009703851,Book - Physical,"Zhong, Yangsheng.",Cabot - Books,gcabb
991005995109703851,Book - Physical,"Otterman, Michael.",Fares - Books,gfarb
991005995149703851,Book - Physical,,Cabot - Books,gcabb
991005995189703851,Book - Physical,"Gegout, Catherine, 1973-",Cabot - Books,gcabb
991005995209703851,Book - Physical,"Leonard, Pauline, 1957-",Cabot - Books,gcabb
991005995259703851,Book - Physical,"Makdisi, Ussama Samir, 1968-",Fares - Books,gfarb
991005995289703851,Book - Physical,"Straumann, Tobias.",Cabot - Books,gcabb
991005995319703851,Book - Physical,"Diptee, Audra.",Cabot - Books,gcabb
991005995369703851,Book - Physical,"Gahrton, Per, 1943-",Raanan - Books,graab
991005995399703851,Book - Physical,,Cabot - Books,gcabb
991007965269703851,Book - Physical,,Cabot - Books,gcabb
991009016829703851,Book - Physical,"Okin, Susan Moller.",Cabot - Books,gcabb
991009474839703851,Book - Physical,,Cabot - Books,gcabb
991010093319703851,Book - Physical,"Moses, Jonathon Wayne, 1962-",Cabot - Books,gcabb
991010422069703851,Book - Physical,"Domínguez, Jorge I., 1945-",Cabot - Books,gcabb
991010422289703851,Book - Physical,,Cabot - Books,gcabb
991010487279703851,Book - Physical,"Ripsman, Norrin M., author.",Cabot - Books,gcabb
991011001939703851,Book - Physical,,Cabot - Books,gcabb
991012528749703851,Book - Physical,"Ernst, Carl W., 1950-",Cabot - Books,gcabb
991012789909703851,Book - Physical,"Eisenstadt, Todd A.",Cabot - Books,gcabb
991013321859703851,Other Serial - Physical,New Zealand. Ministry of Foreign Affairs.,Cabot - Books,gcabb
991013401749703851,Book - Physical,"Migdal, Joel S.",Cabot - Books,gcabb
991013422619703851,Other Serial - Physical,"Bolles, Richard Nelson, author.",Cabot - Books,gcabb
991015371659703851,Book - Physical,"Cheng, Victor.",Cabot - Books,gcabb
991016178879703851,Book - Physical,"Silver, Nate, 1978-",Cabot - Books,gcabb
991016995289703851,Book - Physical,"Rust, William J., author.",Cabot - Books,gcabb
991017229549303851,Book - Physical,"Booth, Wayne C., author.",Cabot - Books,gcabb
991017231048803851,Book - Physical,"Campbell, John author. (John R.),",Cabot - Books,gcabb
991017234540803851,Book - Physical,"Nejem, Rana F., author.",Fares - Books,gfarb
991017234740803851,Book - Physical,"Sharma, Patrick Allan, author.",Cabot - Books,gcabb
991017234741003851,Book - Physical,"Alfadhel, Khalifa A., author.",Maney - Books,gmanb
991017234741503851,Book - Physical,,Salacuse - Books,gsalb
991017234742003851,Book - Physical,"Espiritu, Talitha, author.",Cabot - Books,gcabb
991017234742903851,Book - Physical,"Della Porta, Donatella, 1956- author.",Salacuse - Books,gsalb
991017234743303851,Book - Physical,,Cabot - Books,gcabb
991017234743603851,Book - Physical,"Lan, Shanshan, author.",Cabot - Books,gcabb
991017234743703851,Book - Physical,"James, Eric, (NGO founder) author.",Cabot - Books,gcabb
991017234744503851,Textual – Component Part,,Cabot - Books,gcabb
991017234744603851,Book - Physical,,Cabot - Books,gcabb
991017234744803851,Book - Physical,"Wu, Guoguang, author.",Cabot - Books,gcabb
991017234745003851,Book - Physical,"Prideaux, Margi, author.",Cabot - Books,gcabb
991017234745303851,Book - Physical,"Tusan, Michelle Elizabeth, 1971- author.",Cabot - Books,gcabb
991017234839903851,Book - Physical,"Streets-Salter, Heather, author.",Cabot - Books,gcabb
991017234840603851,Book - Physical,,Salacuse - Books,gsalb
991017234840703851,Book - Physical,"Global Citizenship Commission, author.",Bradley - Books,gbrab
991017234840903851,Book - Physical,,Cabot - Books,gcabb
991017234841003851,Book - Physical,"Shamaileh, Ammar, author.",Cabot - Books,gcabb
991017234841503851,Book - Physical,"Access to Asylum: Current Challenges and Future Directions (Conference) Monash University Prato Centre, Italy) (2014 :",Cabot - Books,gcabb
991017234842303851,Book - Physical,"Hutchinson, John, 1949- author.",Cabot - Books,gcabb
991017234843203851,Book - Physical,"Depaigne, Vincent, author.",Fares - Books,gfarb
991017234844003851,Book - Physical,"Woodward, Susan L., 1944 September 6- author.",Hay - Books,ghayb
991017234844203851,Book - Physical,,Cabot - Books,gcabb
991017234844903851,Book - Physical,,Hay - Books,ghayb
991017234845603851,Book - Physical,"Bookstaber, Richard M., 1950- author.",Cabot - Books,gcabb
991017234845803851,Book - Physical,"Murphy, Michelle author. (Claudette Michelle),",Cabot - Books,gcabb
991017234846003851,Book - Physical,"Elshimi, M. S., author.",Cabot - Books,gcabb
991017234846103851,Book - Physical,"White, Stephen K., author.",Salacuse - Books,gsalb
991017234846603851,Book - Physical,"Blokland-Potters, Talja, author.",Cabot - Books,gcabb
991017234847503851,Textual – Component Part,"Hamm, Mark S., author.",Cabot - Books,gcabb
991017234847603851,Textual – Component Part,"Porter, Holly E., 1980- author.",Bradley - Books,gbrab
991017234847703851,Book - Physical,,Cabot - Books,gcabb
991017234848403851,Book - Physical,,Cabot - Books,gcabb
991017235649303851,Book - Physical,"Emmott, Bill, author.",Cabot - Books,gcabb
991017235649503851,Book - Physical,,Fares - Books,gfarb
991017235749103851,Book - Physical,,Fares - Books,gfarb
991017235749203851,Book - Physical,"Bradley, Miriam, author.",Bradley - Books,gbrab
991017236348103851,Book - Physical,,Salacuse - Books,gsalb
991017236879303851,Book - Physical,,Cabot - Books,gcabb
991017249736403851,Book - Physical,"Tamārī, Salīm, author.",Fares - Books,gfarb
991017249947203851,Book - Physical,,Cabot - Books,gcabb
991017249947503851,Book - Physical,,Cabot - Books,gcabb
991017249947603851,Book - Physical,"Alvarez, Alex, author.",Bradley - Books,gbrab
991017249947703851,Book - Physical,"Girelli, Giada, author.",Maney - Books,gmanb
991017249947903851,Book - Physical,"Fisher, Louis, author.",Maney - Books,gmanb
991017249948203851,Book - Physical,"McCormack, Fiona, 1970- author.",Cabot - Books,gcabb
991017249948303851,Book - Physical,"Setty, Sudha N., author.",Maney - Books,gmanb
991017249948603851,Book - Physical,"Aloisi, Rosa, author.",Cabot - Books,gcabb
991017249949103851,Book - Physical,"Löfflmann, Georg, author.",Bradley - Books,gbrab
991017250047603851,Book - Physical,"Laitos, Jan author.",Maney - Books,gmanb
991017250047703851,Book - Physical,"Briggs, E. Donald, author.",Bradley - Books,gbrab
991017250047803851,Book - Physical,"Lindkvist, Linde, 1985- author.",Maney - Books,gmanb
991017250048203851,Book - Physical,,Maney - Books,gmanb
991017250048503851,Book - Physical,"Carrera, Sergio (Political scientist) author.",Cabot - Books,gcabb
991017250048603851,Book - Physical,"Simpson, Adam author. (Adam John),",Bradley - Books,gbrab
991017250048903851,Book - Physical,,Maney - Books,gmanb
991017261336203851,Book - Physical,"Scales, Robert H., 1944- author.",Cabot - Books,gcabb
991017261336403851,Book - Physical,"Peraino, Kevin, author.",Cabot - Books,gcabb
991017261448003851,Book - Physical,"Anderson, Donald L., 1971- author.",Cabot - Books,gcabb
991017261548203851,Book - Physical,"Peou, Sorpong.",Hay - Books,ghayb
991017284438303851,Book - Electronic,"Raboin, Thibaut, author.",Bradley - Books,gbrab
991017284890603851,Book - Physical,"Rowen, Jamie, author.",Salacuse - Books,gsalb
991017284891203851,Book - Physical,"Crock, Mary author.",Maney - Books,gmanb
991017284891503851,Book - Physical,"Hameiri, Shahar, author.",Salacuse - Books,gsalb
991017284891603851,Book - Physical,"Buergenthal, Thomas, author.",Bradley - Books,gbrab
991017284892403851,Book - Physical,"Kramer, Sina, author.",Fares - Books,gfarb
991017284892503851,Book - Physical,"Sikkink, Kathryn, 1955- author.",Bradley - Books,gbrab
991017284892803851,Book - Physical,,Maney - Books,gmanb
991017284893703851,Book - Physical,"Ung, Loung, author.",Cabot - Books,gcabb
991017284963503851,Book - Physical,,Maney - Books,gmanb
991017284963803851,Book - Physical,,Maney - Books,gmanb
991017284963903851,Book - Physical,"Pion-Berlin, David, author.",Salacuse - Books,gsalb
991017284964003851,Book - Physical,"Frederiksborg, Alexandra Christina, grevinde af, 1964- author.",Salacuse - Books,gsalb
991017284964703851,Book - Physical,"Wang, Ning, 1964- author.",Salacuse - Books,gsalb
991017298949603851,Book - Physical,"McAfee, Andrew, author.",Cabot - Books,gcabb
991017299235303851,Book - Physical,"Macalister-Smith, Peter author.",Cabot - Books,gcabb
991017299239103851,Book - Physical,"Varin, Caroline, author.",Cabot - Books,gcabb
991017299239203851,Book - Physical,"Matfess, Hilary, author.",Cabot - Books,gcabb
991017299239403851,Book - Physical,"Miller, Chris (Research fellow), author.",Cabot - Books,gcabb
991017310442503851,Book - Physical,,Imlah - Books,gimlb
991017317948203851,Book - Physical,"Jones-Pauly, Christina.",Fares - Books,gfarb
991017317948803851,Book - Physical,,Salacuse - Books,gsalb
991017318549703851,Book - Electronic,,Raanan - Books,graab
991017319841503851,Book - Physical,,Hay - Books,ghayb
991017319841903851,Book - Physical,"Shagina, Maria, author.",Raanan - Books,graab
991017319843103851,Book - Physical,,Fares - Books,gfarb
991017319848603851,Book - Physical,"Parra, Antonio R., author.",Maney - Books,gmanb
991017319848803851,Book - Physical,"Kroncke, Jedidiah Joseph, author.",Maney - Books,gmanb
991017319848903851,Book - Physical,"Byman, Daniel, 1967- author.",Salacuse - Books,gsalb
991017319849003851,Book - Physical,,Salacuse - Books,gsalb
991017319849103851,Book - Physical,"Moore, John Allphin, 1940- author.",Maney - Books,gmanb
991017319849403851,Book - Physical,,Salacuse - Books,gsalb
991017319949603851,Book - Physical,"Giustozzi, Antonio, author.",Imlah - Books,gimlb
991017319949703851,Book - Physical,"Older, Malka, 1977- author.",Salacuse - Books,gsalb
991017319949803851,Book - Physical,"Morley, Jefferson, author.",Cabot - Books,gcabb
991017323544003851,Book - Physical,"Craig, P. P. author. (Paul P.)",Maney - Books,gmanb
991017326042303851,Book - Physical,"Vasilyeva, Nataliya A., author.",Raanan - Books,graab
991017326042403851,Book - Physical,"Coene, Frederik, author.",Raanan - Books,graab
991017326042503851,Book - Physical,,Raanan - Books,graab
991017326042603851,Book - Physical,"Carrier, Martin, 1975- author.",Raanan - Books,graab
991017326042803851,Book - Physical,,Raanan - Books,graab
991017326042903851,Textual – Component Part,"DAVIS, G. DOUG",Raanan - Books,graab
991017326043003851,Book - Physical,,Raanan - Books,graab
991017326043403851,Book - Physical,,Raanan - Books,graab
991017326241003851,Book - Electronic,,Raanan - Books,graab
991017326243403851,Book - Physical,,Maney - Books,gmanb
991017326249003851,Book - Physical,"Zakaria, Fareed.",Cabot - Books,gcabb
991017326339403851,Book - Electronic,,Raanan - Books,graab
991017326339503851,Book - Electronic,,Raanan - Books,graab
991017327045503851,Book - Physical,"Arakelyan, Lilia A., author.",Raanan - Books,graab
991017327049103851,Book - Physical,,Maney - Books,gmanb
991017327942603851,Book - Physical,"Thomas, Richard F., 1950- author.",Fares - Books,gfarb
991017328042203851,Book - Electronic,"Elam-Thomas, Harriet Lee, 1941- author.",Cabot - Books,gcabb
991017349445003851,Book - Physical,,Cabot - Books,gcabb
991017349445703851,Book - Physical,"Yahyaoui Krivenko, Ekaterina, author.",Maney - Books,gmanb
991017349445803851,Book - Physical,,Maney - Books,gmanb
